Operation Name,Operation Type,Address,City,Postal Code,Total Floor Area,Unit1,Average Hours Per Week,Annual Flow,Electricity,Unit2,Natural Gas,Unit3,Fuel Oil 1 & 2,Unit4,Fuel Oil 4 & 6,Unit5,Propane,Unit6,Coal,Unit7,Wood,Unit8,District Heat,Unit9,Renewable1,Emission Factor1,District Cool,Unit10,Renewable2,Emission Factor2,GHG Emissions (Kg),Energy Intensity (ekWh/sqft),Energy Intensity (ekWh/Mega Litres),Comments,lat,lng
AJ TYLER - MAIN BLDG & (E) WATER/SEWER BLDG,"Administrative offices and related facilities, including municipal council chambers",663 BATHURST ST,London,N5Z 1P8,12721,Square feet,50,0.0,960267.38,kWh,"  83,365 ",Cubic Meter,0,Litre,0,Litre,0,Litre,0,Metric Tonne,0,Metric Tonne,0.0,Giga Joule,,,0.0,Giga Joule,,,"  249,835 ",  145 ,  -   ,,42.9848552,-81.2304173
CITY HALL,"Administrative offices and related facilities, including municipal council chambers",300 DUFFERIN AVE,London,N6B 1Z2,174990,Square feet,126,0.0,2551993.7,kWh,  -   ,Cubic Meter,0,Litre,0,Litre,0,Litre,0,Metric Tonne,0,Metric Tonne,3979.5966,Giga Joule,No,0.0,2940.6648,Giga Joule,No,0.0,"  504,850 ",  22 ,  -   ,,42.9877504,-81.2464214
ENVIRO PROGS - RENTAL,"Administrative offices and related facilities, including municipal council chambers","520 WELLINGTON ST UN 1,2,3",London,N6A 3R2,2819,Square feet,60,0.0,21751.92,kWh,  -   ,Cubic Meter,0,Litre,0,Litre,0,Litre,0,Metric Tonne,0,Metric Tonne,0.0,Giga Joule,,,0.0,Giga Joule,,,"  2,089 ",  8 ,  -   ,,,
J ALLAN TAYLOR BLDG,"Administrative offices and related facilities, including municipal council chambers",267 DUNDAS ST,London,N6A 1H2,26110,Square feet,70,0.0,286063.9,kWh,"  7,773 ",Cubic Meter,0,Litre,0,Litre,0,Litre,0,Metric Tonne,0,Metric Tonne,1454.6448,Giga Joule,No,0.0,1851.125577,Giga Joule,No,0.0,"  143,392 ",  36 ,  -   ,,42.98471,-81.2454562
OXFORD OPS CTRE,"Administrative offices and related facilities, including municipal council chambers",1570 OXFORD ST W,London,N6H 1W2,2700,Square feet,80,0.0,5346.894013,kWh,"  9,635 ",Cubic Meter,0,Litre,0,Litre,0,Litre,0,Metric Tonne,0,Metric Tonne,0.0,Giga Joule,,,0.0,Giga Joule,,,"  18,731 ",  40 ,  -   ,,42.971562,-81.3345411
PROVINCIAL OFFENCE ACT OFFICES,"Administrative offices and related facilities, including municipal council chambers",824 DUNDAS ST,London,N5W 5R1,22690,Square feet,70,0.0,336642.3,kWh,"  30,840 ",Cubic Meter,0,Litre,0,Litre,0,Litre,0,Metric Tonne,0,Metric Tonne,0.0,Giga Joule,,,0.0,Giga Joule,,,"  90,638 ",  29 ,  -   ,,42.9911735352941,-81.2240402705882
T-BLOCK(NG shared WOLSELY),"Administrative offices and related facilities, including municipal council chambers",652 ELIZABETH ST,London,N5Y 4T7,16320,Square feet,70,0.0,38788.23,kWh,"  40,428 ",Cubic Meter,0,Litre,0,Litre,0,Litre,0,Metric Tonne,0,Metric Tonne,0.0,Giga Joule,,,0.0,Giga Joule,,,"  80,160 ",  29 ,  -   ,,42.9987718,-81.233576
TOURISM LONDON,"Administrative offices and related facilities, including municipal council chambers",696 WELLINGTON RD,London,N6C 4R2,3400,Square feet,70,0.0,32128.2,kWh,"  10,888 ",Cubic Meter,0,Litre,0,Litre,0,Litre,0,Metric Tonne,0,Metric Tonne,0.0,Giga Joule,,,0.0,Giga Joule,,,"  23,670 ",  43 ,  -   ,,42.94773575,-81.2269444506159
CENTENNIAL HALL,Auditoriums,550 WELLINGTON ST,London,N6A 3P9,50050,Square feet,70,0.0,835993.34,kWh,  -   ,Cubic Meter,0,Litre,0,Litre,0,Litre,0,Metric Tonne,0,Metric Tonne,2897.6966,Giga Joule,No,0.0,1024.0041,Giga Joule,No,0.0,"  260,395 ",  35 ,  -   ,,42.9892119,-81.2466055416328
BOYLE CC,Community centres,530 CHARLOTTE ST,London,N5W 4A4,8522,Square feet,126,0.0,66450.24,kWh,"  9,787 ",Cubic Meter,0,Litre,0,Litre,0,Litre,0,Metric Tonne,0,Metric Tonne,0.0,Giga Joule,,,0.0,Giga Joule,,,"  24,886 ",  20 ,  -   ,,42.9966771347937,-81.2186794443261
BYRON CC - POLE BASE,Community centres,1308 NORMAN AVE,London,N6K 2A3,8290,Square feet,126,0.0,101916.0,kWh,"  23,517 ",Cubic Meter,0,Litre,0,Litre,0,Litre,0,Metric Tonne,0,Metric Tonne,0.0,Giga Joule,,,0.0,Giga Joule,,,"  54,251 ",  42 ,  -   ,,42.9571509,-81.3361288
CARLING HEIGHTS OCC,Community centres,654 ELIZABETH ST,London,N5Y 6L3,38090,Square feet,126,0.0,42603.21,kWh,"  145,646 ",Cubic Meter,0,Litre,0,Litre,0,Litre,0,Metric Tonne,0,Metric Tonne,0.0,Giga Joule,,,0.0,Giga Joule,,,"  279,454 ",  42 ,  -   ,,42.9987718,-81.233576
CIVIC GARDEN COMPLEX,Community centres,625 SPRINGBANK DR,London,N6K 4T1,19312,Square feet,126,0.0,173939.88,kWh,"  109,942 ",Cubic Meter,0,Litre,0,Litre,0,Litre,0,Metric Tonne,0,Metric Tonne,0.0,Giga Joule,,,0.0,Giga Joule,,,"  224,565 ",  70 ,  -   ,,42.9625799714286,-81.2954907035714
EAST LIONS ARTISANS CC  & POOL,Community centres,1731 CHURCHILL AVE,London,N5W 5P4,6682,Square feet,126,0.0,112597.82,kWh,"  30,761 ",Cubic Meter,0,Litre,0,Litre,0,Litre,0,Metric Tonne,0,Metric Tonne,0.0,Giga Joule,,,0.0,Giga Joule,,,"  68,972 ",  66 ,  -   ,,42.9997093,-81.1765764
HAMILTON RD SENIORS CENTRE,Community centres,898 TRAFALGAR ST,London,N5Z 1G2,8622,Square feet,126,0.0,87038.51,kWh,"  16,107 ",Cubic Meter,0,Litre,0,Litre,0,Litre,0,Metric Tonne,0,Metric Tonne,0.0,Giga Joule,,,0.0,Giga Joule,,,"  38,811 ",  30 ,  -   ,,42.9796469,-81.2152746
KIWANIS SENIOR CENTRE,Community centres,78 RIVERSIDE DR,London,N6H 1B4,17200,Square feet,126,0.0,257311.08,kWh,"  21,029 ",Cubic Meter,0,Litre,0,Litre,0,Litre,0,Metric Tonne,0,Metric Tonne,0.0,Giga Joule,,,0.0,Giga Joule,,,"  64,471 ",  28 ,  -   ,,42.9827141569511,-81.2612008102205
LAMBETH CC (NG ALSO FEEDS ARENA),Community centres,7112 BEATTIE ST,London,N6P 1A2,17600,Square feet,126,0.0,912.55,kWh,"  73,750 ",Cubic Meter,0,Litre,0,Litre,0,Litre,0,Metric Tonne,0,Metric Tonne,0.0,Giga Joule,,,0.0,Giga Joule,,,"  139,521 ",  45 ,  -   ,,42.9097001068087,-81.3045035745406
NORTH LONDON OCC,Community centres,1345 CHEAPSIDE ST,London,N5V 3N9,55200,Square feet,126,0.0,677587.72,kWh,"  70,799 ",Cubic Meter,0,Litre,0,Litre,0,Litre,0,Metric Tonne,0,Metric Tonne,0.0,Giga Joule,,,0.0,Giga Joule,,,"  198,930 ",  26 ,  -   ,,43.015113,-81.208542
SOUTH LONDON CC,Community centres,1119 JALNA BLVD,London,N6E 3B3,29460,Square feet,126,0.0,185254.3,kWh,"  33,010 ",Cubic Meter,0,Litre,0,Litre,0,Litre,0,Metric Tonne,0,Metric Tonne,0.0,Giga Joule,,,0.0,Giga Joule,,,"  80,201 ",  18 ,  -   ,,42.9306748,-81.2273092
SPRINGBANK GARDENS COM CTRE,Community centres,205 WONDERLAND RD S,London,N6K 3T3,2420,Square feet,126,0.0,28658.6,kWh,"  5,923 ",Cubic Meter,0,Litre,0,Litre,0,Litre,0,Metric Tonne,0,Metric Tonne,0.0,Giga Joule,,,0.0,Giga Joule,,,"  13,950 ",  38 ,  -   ,,42.9613026,-81.2933324
SPRINGBANK PARK-FLINT COTTAGE,Community centres,1097 SPRINGBANK DR,London,N6K 1C5,1773,Square feet,70,0.0,1672.77,kWh,"  1,208 ",Cubic Meter,0,Litre,0,Litre,0,Litre,0,Metric Tonne,0,Metric Tonne,0.0,Giga Joule,,,0.0,Giga Joule,,,"  2,444 ",  8 ,  -   ,,42.9546621,-81.3156959
EP WILLIAMS ESTATE,Cultural facilities,101 WINDERMERE RD,London,N6G 2J4,9330,Square feet,126,0.0,16110.51,kWh,"  12,479 ",Cubic Meter,0,Litre,0,Litre,0,Litre,0,Metric Tonne,0,Metric Tonne,0.0,Giga Joule,,,0.0,Giga Joule,,,"  25,141 ",  16 ,  -   ,,43.012026,-81.291877
